-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 01/01/2021 
Location: Latitude  45.3859   Longitude -75.7107 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX              MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN              MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE            MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
TOA_SW_DWN            CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,T2M_MAX,T2M_MIN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
2019,142,12.76,20.02,4.34,307.84,0.06,0.2,0.41,0.05,0.35,1.32,1.95,0.48,1.47,0.86,0.85,0.91,24.6,28.94,40.01
2019,143,13.37,17.7,7.53,351.06,9.83,0.27,0.4,0.1,0.3,2.22,3.35,0.88,2.47,0.88,0.86,0.91,10.1,26.56,40.13
2019,144,14.58,18.34,10.82,352.44,0.62,0.38,0.95,0.19,0.77,2.26,3.35,0.52,2.84,0.86,0.86,0.91,14.1,28.67,40.25
2019,145,12.47,16.54,7.49,341.91,7.08,0.3,0.82,0.1,0.71,1.81,3.43,0.68,2.76,0.88,0.86,0.91,12.72,26.81,40.35
2019,146,15.19,21.26,8.51,341.77,1.93,0.3,0.38,0.21,0.17,2.43,3.5,1.49,2.01,0.87,0.86,0.91,22.86,29.68,40.46
2019,147,11.97,16.62,6.96,315.77,0.79,0.34,0.87,0.14,0.73,1.96,2.77,1.13,1.63,0.86,0.85,0.91,19.49,29.76,40.56
2019,148,9.79,14.54,5.9,337.57,3.15,0.3,0.67,0.17,0.5,1.77,2.58,1.3,1.28,0.87,0.85,0.91,11.14,28.02,40.66
2019,149,12.93,19.12,6.6,328.24,0.54,0.28,0.66,0.08,0.58,1.4,2.15,0.46,1.69,0.86,0.85,0.9,20.2,28.72,40.76
2019,150,13.67,19.79,7.44,331.39,1.54,0.3,0.45,0.18,0.27,2.38,3.93,1.31,2.62,0.86,0.84,0.9,20.26,28.33,40.85
2019,151,11.57,17.35,4.01,310.15,0.0,0.33,0.84,0.12,0.71,1.55,2.39,0.89,1.51,0.85,0.84,0.9,19.55,27.27,40.93
2019,152,14.47,20.4,8.45,351.14,0.33,0.27,0.71,0.12,0.59,1.21,1.7,0.49,1.2,0.84,0.84,0.9,17.87,24.79,41.02
2019,153,14.62,18.48,9.77,351.67,6.22,0.27,0.45,0.12,0.33,1.62,2.51,0.76,1.75,0.87,0.84,0.9,10.09,25.74,41.09
2019,154,8.83,12.62,6.68,311.77,1.89,0.41,0.59,0.23,0.37,2.86,4.92,1.19,3.73,0.85,0.84,0.9,14.99,30.37,41.17
2019,155,9.94,15.65,3.44,308.69,1.51,0.27,0.47,0.11,0.36,2.09,4.0,0.98,3.02,0.85,0.84,0.89,21.22,29.67,41.24
2019,156,10.94,14.84,6.34,347.58,3.05,0.21,0.7,0.02,0.69,0.89,1.76,0.19,1.58,0.86,0.84,0.89,14.46,28.03,41.3
2019,157,15.15,20.85,8.33,300.55,0.45,0.41,1.21,0.17,1.04,1.79,2.27,1.08,1.2,0.84,0.84,0.89,30.93,31.0,41.36
2019,158,16.44,22.89,9.39,309.47,0.01,0.42,1.09,0.08,1.02,2.01,3.21,0.68,2.53,0.84,0.83,0.89,29.67,31.01,41.42
2019,159,15.95,25.29,6.61,293.55,0.12,0.31,1.02,0.04,0.98,1.3,2.61,0.3,2.3,0.84,0.82,0.88,30.85,31.49,41.47
2019,160,18.86,25.9,10.05,313.95,0.0,0.48,1.13,0.05,1.08,1.49,2.46,0.45,2.02,0.83,0.81,0.88,29.84,30.86,41.52
2019,161,17.08,22.15,12.49,354.38,11.95,0.27,0.54,0.16,0.38,1.94,2.52,1.25,1.27,0.85,0.81,0.88,19.2,29.64,41.57
2019,162,15.01,18.94,9.43,340.44,9.53,0.38,0.54,0.16,0.38,2.87,4.55,0.99,3.56,0.87,0.84,0.88,20.68,31.1,41.61
2019,163,15.62,21.39,8.02,298.18,0.04,0.36,0.81,0.12,0.69,1.91,2.38,1.07,1.31,0.84,0.83,0.88,30.59,31.17,41.64
2019,164,16.06,21.58,12.46,354.16,8.46,0.3,0.38,0.21,0.16,2.29,3.23,1.59,1.63,0.85,0.82,0.88,13.62,28.6,41.67
2019,165,14.3,18.26,11.55,344.05,6.52,0.32,0.41,0.23,0.17,2.42,3.41,1.48,1.92,0.87,0.84,0.88,10.39,30.17,41.7
2019,166,14.1,20.19,10.37,357.14,10.53,0.36,0.55,0.24,0.3,2.8,4.49,1.59,2.9,0.87,0.84,0.88,6.77,28.61,41.72
2019,167,14.31,19.94,7.78,316.61,0.53,0.27,0.85,0.09,0.76,1.46,2.27,0.84,1.42,0.84,0.84,0.88,23.39,31.1,41.74
2019,168,16.95,22.53,8.59,316.49,0.02,0.3,0.98,0.05,0.93,1.21,1.79,0.5,1.29,0.84,0.83,0.88,28.56,30.58,41.75
2019,169,19.53,24.13,14.42,351.28,0.46,0.38,1.02,0.02,1.0,1.03,2.06,0.11,1.95,0.84,0.82,0.88,23.21,29.96,41.76
2019,170,19.38,23.39,14.22,365.91,3.34,0.34,0.86,0.05,0.81,1.2,2.3,0.41,1.88,0.84,0.81,0.88,21.53,28.19,41.76
2019,171,16.34,17.24,14.36,374.66,5.11,0.28,0.48,0.21,0.27,1.94,2.77,1.32,1.44,0.85,0.82,0.88,6.58,26.94,41.76
2019,172,17.4,21.48,13.44,344.5,1.06,0.33,0.38,0.27,0.1,2.55,3.2,1.88,1.32,0.83,0.82,0.88,24.79,30.14,41.76
2019,173,18.02,23.29,12.53,330.54,0.02,0.34,0.42,0.27,0.16,2.73,3.62,2.13,1.48,0.82,0.81,0.87,27.38,29.45,41.75
2019,174,18.69,24.55,12.03,322.25,0.31,0.29,0.36,0.18,0.19,2.07,3.05,1.48,1.58,0.82,0.8,0.87,29.49,29.98,41.74
2019,175,19.6,25.55,12.62,340.89,0.02,0.22,0.31,0.12,0.2,1.59,2.32,1.02,1.29,0.81,0.8,0.86,24.5,29.35,41.72
2019,176,19.08,25.15,14.28,369.54,9.93,0.29,0.36,0.22,0.14,2.22,3.16,1.47,1.7,0.84,0.8,0.86,15.96,28.24,41.7
2019,177,20.16,25.9,13.75,365.95,5.59,0.26,0.33,0.17,0.16,1.88,2.86,1.12,1.73,0.84,0.81,0.86,20.97,29.39,41.68
2019,178,21.4,27.23,15.14,357.2,6.16,0.24,0.36,0.12,0.24,1.73,2.26,1.03,1.23,0.84,0.8,0.86,28.0,29.94,41.65
2019,179,20.88,26.71,16.31,371.83,8.09,0.23,0.45,0.12,0.32,1.42,2.11,0.98,1.12,0.84,0.81,0.86,20.02,29.11,41.61
2019,180,21.55,26.55,16.74,379.96,5.46,0.21,0.29,0.16,0.13,1.52,2.08,0.98,1.09,0.84,0.81,0.86,23.03,28.75,41.58
2019,181,18.58,22.87,15.31,361.17,4.0,0.31,0.39,0.23,0.16,2.32,3.3,1.34,1.97,0.84,0.81,0.86,21.34,29.44,41.53
2019,182,20.5,25.47,13.87,348.53,0.53,0.28,0.65,0.11,0.54,1.47,1.92,0.92,1.01,0.82,0.8,0.86,28.64,29.88,41.49
2019,183,22.04,26.98,16.16,363.49,0.6,0.34,0.97,0.14,0.83,1.62,2.37,1.1,1.27,0.81,0.8,0.85,28.18,29.22,41.44
2019,184,24.05,29.65,15.98,358.27,0.1,0.32,0.79,0.05,0.74,1.05,1.7,0.41,1.3,0.8,0.79,0.84,27.45,29.01,41.38
2019,185,25.77,31.64,20.37,365.77,0.0,0.26,0.95,0.01,0.94,0.81,2.31,0.06,2.25,0.8,0.78,0.84,26.25,29.14,41.32
2019,186,24.26,28.68,19.46,406.57,9.62,0.26,0.56,0.11,0.45,1.59,1.98,0.89,1.09,0.83,0.78,0.84,18.74,27.06,41.26
2019,187,22.14,25.51,15.19,383.7,2.38,0.3,0.42,0.19,0.23,2.24,3.38,1.45,1.91,0.81,0.79,0.84,21.91,27.18,41.19
2019,188,17.43,22.42,12.19,305.37,0.42,0.38,1.01,0.19,0.82,1.92,2.38,1.13,1.24,0.8,0.78,0.84,30.85,30.8,41.12
2019,189,19.08,25.02,11.4,316.77,0.1,0.44,1.02,0.04,0.98,1.62,2.55,0.34,2.2,0.79,0.77,0.84,30.5,30.65,41.05
2019,190,22.1,29.01,14.26,351.37,0.0,0.27,0.86,0.09,0.77,1.34,1.98,0.77,1.21,0.78,0.77,0.83,26.59,27.88,40.97
2019,191,21.76,26.96,16.14,363.27,0.21,0.3,0.83,0.07,0.76,1.38,2.31,0.59,1.73,0.78,0.77,0.82,25.86,27.9,40.88
2019,192,22.67,25.61,18.51,405.16,15.68,0.29,0.73,0.2,0.52,1.87,2.34,1.38,0.97,0.83,0.77,0.82,12.0,26.18,40.8
2019,193,20.53,24.39,17.2,385.26,2.84,0.38,0.97,0.23,0.73,1.99,2.45,1.26,1.18,0.82,0.79,0.83,15.78,28.34,40.71
2019,194,20.98,27.33,15.0,373.73,5.63,0.3,0.94,0.12,0.81,1.98,2.68,1.04,1.64,0.8,0.78,0.83,24.31,28.56,40.61
2019,195,19.42,23.65,15.55,355.43,0.27,0.29,0.33,0.22,0.12,2.08,2.8,1.53,1.28,0.8,0.77,0.82,23.78,27.91,40.51
2019,196,20.8,27.15,14.33,342.59,0.11,0.19,0.45,0.07,0.38,1.14,1.74,0.63,1.11,0.79,0.77,0.82,27.12,28.4,40.41
2019,197,22.51,29.3,16.07,393.36,1.46,0.27,0.34,0.16,0.18,1.95,2.6,1.22,1.38,0.78,0.77,0.81,15.5,27.15,40.3
2019,198,22.3,26.37,16.37,383.84,0.55,0.26,0.34,0.15,0.2,1.88,2.81,1.27,1.55,0.77,0.76,0.81,18.24,26.13,40.19
2019,199,20.28,25.91,14.3,351.23,0.37,0.24,0.32,0.14,0.18,1.66,2.45,1.25,1.2,0.77,0.75,0.81,27.7,28.17,40.08
2019,200,25.11,30.8,18.94,408.78,2.75,0.28,0.33,0.22,0.11,2.15,2.83,1.64,1.18,0.77,0.75,0.8,21.0,26.6,39.96
2019,201,25.56,29.26,20.73,405.15,1.08,0.24,0.31,0.12,0.19,1.81,2.32,1.1,1.22,0.77,0.74,0.8,21.43,26.9,39.83
2019,202,23.56,27.75,18.48,380.46,1.22,0.29,0.46,0.23,0.23,2.22,3.59,1.63,1.96,0.76,0.74,0.8,25.44,28.01,39.71
2019,203,18.77,21.51,15.43,363.92,0.01,0.23,0.79,0.02,0.77,1.09,2.01,0.16,1.86,0.76,0.73,0.8,14.47,26.37,39.58
2019,204,18.56,24.01,12.62,337.19,0.06,0.29,0.68,0.14,0.55,1.7,2.2,1.16,1.05,0.75,0.73,0.79,25.38,27.9,39.45
2019,205,17.8,22.9,11.15,335.91,0.25,0.37,1.02,0.12,0.91,1.57,2.2,0.94,1.26,0.75,0.73,0.79,25.14,27.56,39.31
2019,206,21.81,27.3,15.58,353.65,0.15,0.34,1.01,0.03,0.97,1.08,1.79,0.24,1.54,0.74,0.72,0.78,26.34,27.22,39.17
2019,207,22.38,28.19,16.14,358.56,0.01,0.34,0.88,0.07,0.8,1.41,2.02,0.62,1.4,0.73,0.72,0.78,26.08,26.37,39.03
2019,208,22.32,28.19,15.55,371.24,0.66,0.27,0.36,0.12,0.23,1.95,2.7,1.09,1.62,0.73,0.71,0.77,24.29,25.98,38.88
2019,209,23.73,28.57,19.8,395.23,6.5,0.29,0.76,0.13,0.62,1.55,2.42,0.2,2.23,0.76,0.71,0.77,19.72,24.96,38.73
2019,210,23.62,28.29,18.81,379.66,1.41,0.32,0.84,0.05,0.79,1.52,2.08,0.49,1.59,0.73,0.71,0.77,23.53,26.63,38.57
2019,211,23.51,27.58,20.45,399.67,2.24,0.31,0.75,0.14,0.62,1.66,2.88,0.95,1.93,0.74,0.71,0.77,14.78,25.37,38.42
2019,212,20.96,25.56,15.98,361.59,0.77,0.26,0.38,0.16,0.22,1.8,2.42,1.34,1.09,0.73,0.71,0.77,22.57,26.7,38.25
2019,213,20.57,28.06,12.57,322.66,0.27,0.28,1.03,0.03,0.99,1.05,2.39,0.3,2.09,0.73,0.7,0.76,27.29,27.53,38.1
2019,214,20.42,26.81,13.61,336.04,0.4,0.27,0.95,0.05,0.9,1.47,2.24,0.46,1.78,0.72,0.7,0.76,26.81,27.23,37.93
2019,215,20.02,26.09,14.35,362.23,1.54,0.23,0.31,0.13,0.19,1.62,2.14,1.05,1.09,0.72,0.7,0.75,20.72,26.22,37.76
2019,216,17.29,21.96,11.77,307.98,0.1,0.37,1.06,0.16,0.9,1.62,1.96,0.55,1.41,0.71,0.69,0.75,27.31,27.38,37.59
2019,217,19.56,26.16,11.04,334.85,0.01,0.33,0.95,0.08,0.87,1.73,2.16,0.52,1.66,0.7,0.69,0.74,26.94,27.1,37.41
2019,218,20.87,26.42,15.19,379.76,2.34,0.22,0.27,0.16,0.11,1.45,2.04,1.02,1.02,0.71,0.68,0.74,16.07,24.7,37.23
2019,219,20.55,23.88,17.99,392.27,4.15,0.33,0.59,0.13,0.46,1.2,1.91,0.62,1.29,0.73,0.69,0.74,9.35,24.31,37.05
2019,220,20.6,26.78,15.48,375.22,3.9,0.3,0.49,0.13,0.36,2.01,3.12,1.15,1.97,0.73,0.7,0.74,18.15,24.91,36.86
2019,221,18.37,23.57,14.51,354.59,4.31,0.28,0.37,0.2,0.16,1.98,3.12,1.32,1.8,0.73,0.7,0.74,19.57,25.58,36.67
2019,222,16.12,20.15,12.34,336.93,1.24,0.29,0.37,0.21,0.16,2.12,3.05,1.27,1.77,0.72,0.7,0.74,19.38,25.57,36.48
2019,223,19.14,25.06,11.94,353.02,0.03,0.28,0.36,0.18,0.17,2.02,2.69,1.16,1.53,0.7,0.69,0.73,19.89,24.99,36.29
2019,224,20.43,25.93,14.41,382.55,4.87,0.3,0.61,0.16,0.45,1.71,2.37,1.16,1.21,0.72,0.69,0.73,16.35,24.74,36.09
2019,225,18.95,24.45,13.97,350.2,0.64,0.28,0.65,0.19,0.46,1.78,2.2,1.41,0.78,0.71,0.69,0.73,23.42,25.26,35.89
2019,226,16.89,22.51,12.15,330.76,0.01,0.24,0.32,0.17,0.15,1.7,1.97,1.36,0.62,0.7,0.68,0.73,23.4,25.74,35.69
2019,227,17.3,22.88,10.53,331.9,0.64,0.25,0.82,0.08,0.74,1.25,1.95,0.59,1.36,0.7,0.67,0.73,24.91,25.73,35.48
2019,228,19.49,25.25,13.36,359.98,0.79,0.25,0.61,0.03,0.57,1.3,2.12,0.3,1.83,0.7,0.67,0.73,23.59,24.07,35.27
2019,229,19.71,23.99,15.65,388.56,5.66,0.27,0.63,0.05,0.57,1.24,1.88,0.41,1.46,0.72,0.67,0.73,9.82,22.88,35.06
2019,230,20.37,23.19,16.32,386.74,3.47,0.25,0.52,0.07,0.45,1.51,1.95,0.6,1.34,0.72,0.68,0.73,13.17,23.31,34.85
2019,231,21.39,26.19,14.51,372.06,1.27,0.33,0.41,0.24,0.16,2.35,3.48,1.47,2.02,0.7,0.68,0.73,19.37,23.49,34.64
2019,232,19.67,27.11,12.79,326.3,0.02,0.27,0.41,0.06,0.34,1.69,2.27,0.55,1.72,0.69,0.67,0.72,25.34,25.32,34.42
2019,233,20.97,25.88,15.61,389.77,2.54,0.2,0.34,0.05,0.28,1.35,2.59,0.54,2.05,0.7,0.66,0.72,12.91,22.87,34.2
2019,234,19.33,23.94,14.45,356.77,1.55,0.26,0.32,0.18,0.15,1.84,2.26,1.45,0.8,0.7,0.67,0.72,20.12,23.85,33.97
2019,235,16.23,21.44,11.79,337.73,0.39,0.29,0.34,0.21,0.13,2.06,2.73,1.62,1.12,0.68,0.66,0.71,18.96,23.84,33.75
2019,236,17.08,23.62,10.13,330.6,0.0,0.34,0.99,0.15,0.84,1.62,1.98,0.95,1.04,0.68,0.66,0.71,21.44,23.53,33.52
2019,237,17.94,24.6,11.19,321.23,0.0,0.33,0.7,0.11,0.59,1.74,2.33,0.99,1.34,0.67,0.66,0.71,24.23,24.12,33.29
2019,238,18.42,25.51,11.26,315.02,0.01,0.26,0.44,0.06,0.38,1.62,2.25,0.56,1.69,0.66,0.65,0.7,24.57,24.42,33.06
2019,239,17.71,22.31,12.57,349.22,0.3,0.27,0.34,0.19,0.15,1.9,2.81,1.18,1.63,0.66,0.65,0.7,17.64,22.94,32.83
2019,240,19.58,23.36,16.62,388.78,13.04,0.25,0.29,0.22,0.07,1.91,2.29,1.61,0.68,0.75,0.66,0.7,5.75,21.02,32.59
2019,241,18.84,23.56,14.01,354.32,1.5,0.27,0.34,0.16,0.2,1.95,2.32,1.27,1.05,0.7,0.67,0.71,16.74,22.73,32.35
2019,242,18.06,22.69,13.15,361.27,5.07,0.35,0.47,0.26,0.21,2.62,3.97,1.82,2.15,0.71,0.67,0.7,17.53,22.11,32.11
2019,243,15.45,21.4,10.74,325.18,0.0,0.34,0.89,0.17,0.72,1.87,2.34,1.0,1.34,0.69,0.66,0.7,17.74,22.95,31.87
2019,244,15.76,22.56,8.49,328.82,0.92,0.25,0.34,0.17,0.17,1.76,2.23,0.99,1.25,0.68,0.66,0.7,21.36,22.63,31.62
2019,245,17.81,22.86,14.56,372.82,4.24,0.3,0.8,0.14,0.66,1.45,2.31,0.89,1.42,0.71,0.66,0.7,12.98,20.47,31.38
2019,246,14.87,19.97,9.6,343.48,3.64,0.23,0.33,0.06,0.27,1.77,2.46,0.51,1.95,0.7,0.66,0.7,16.31,21.93,31.13
2019,247,16.82,21.6,9.72,371.57,6.65,0.44,0.8,0.27,0.54,3.12,4.43,1.48,2.95,0.73,0.67,0.7,11.15,20.74,30.88
2019,248,14.84,22.29,7.08,308.59,0.3,0.47,0.91,0.05,0.85,1.62,2.16,0.48,1.67,0.69,0.67,0.7,20.8,22.09,30.63
2019,249,15.77,22.21,9.99,355.5,5.56,0.3,0.72,0.2,0.52,1.91,2.38,1.44,0.94,0.7,0.66,0.7,13.94,21.27,30.38
2019,250,14.4,17.71,11.69,360.48,4.66,0.22,0.38,0.03,0.34,1.45,2.16,0.25,1.91,0.73,0.68,0.7,7.66,20.06,30.13
2019,251,12.84,18.07,7.03,324.2,0.32,0.27,0.3,0.24,0.07,2.05,2.36,1.5,0.85,0.7,0.67,0.7,12.95,21.35,29.87
2019,252,11.59,18.53,5.12,287.3,0.0,0.3,1.04,0.01,1.03,1.16,2.28,0.09,2.2,0.7,0.67,0.7,19.8,21.84,29.62
2019,253,12.75,17.55,5.69,342.65,2.03,0.29,0.73,0.1,0.63,1.59,2.29,0.91,1.38,0.7,0.67,0.7,8.8,19.33,29.36
2019,254,17.83,23.28,11.56,375.6,3.12,0.25,0.35,0.14,0.21,2.18,3.19,1.58,1.6,0.7,0.67,0.7,13.3,18.79,29.1
2019,255,13.5,19.38,8.35,298.16,0.36,0.27,0.35,0.22,0.14,1.96,2.49,1.39,1.1,0.69,0.67,0.7,20.66,21.25,28.84
2019,256,14.08,20.95,6.57,306.8,3.82,0.36,0.48,0.2,0.28,2.82,3.89,1.67,2.22,0.69,0.66,0.7,20.08,21.18,28.58
2019,257,17.63,23.56,12.15,374.55,7.57,0.33,0.38,0.24,0.15,2.84,3.95,1.78,2.16,0.73,0.68,0.7,8.24,19.18,28.32
2019,258,12.2,18.35,7.9,329.08,0.66,0.29,0.4,0.23,0.17,2.07,3.38,1.41,1.97,0.7,0.67,0.7,11.9,19.93,28.06
2019,259,13.21,21.04,6.3,296.08,0.34,0.3,0.75,0.1,0.65,1.69,2.45,0.9,1.55,0.69,0.67,0.7,20.24,20.17,27.79
2019,260,14.22,21.83,7.5,296.58,0.19,0.34,0.95,0.09,0.86,1.59,2.42,0.79,1.62,0.68,0.66,0.7,20.1,20.04,27.53
2019,261,14.27,21.29,8.9,306.66,0.2,0.26,0.58,0.15,0.43,1.66,2.01,1.21,0.8,0.68,0.66,0.7,19.7,19.75,27.26
2019,262,14.79,22.76,8.2,311.63,0.12,0.25,0.54,0.09,0.46,1.45,1.86,0.74,1.11,0.67,0.66,0.7,18.64,19.19,27.0
2019,263,17.9,25.44,10.81,332.13,0.0,0.34,0.79,0.07,0.73,1.22,1.77,0.79,0.98,0.67,0.66,0.69,18.37,18.56,26.73
2019,264,19.23,26.48,13.67,341.31,0.13,0.31,0.87,0.07,0.8,1.41,2.0,0.38,1.62,0.66,0.65,0.69,17.9,18.44,26.46
2019,265,20.48,26.18,14.55,385.18,0.52,0.24,0.33,0.16,0.16,2.31,3.62,1.42,2.2,0.66,0.65,0.69,8.95,17.08,26.2
2019,266,20.25,25.62,14.05,386.55,11.98,0.26,0.35,0.09,0.27,2.17,3.11,0.98,2.13,0.73,0.66,0.69,5.22,16.15,25.93
2019,267,13.51,17.65,9.94,360.87,1.76,0.41,0.88,0.22,0.66,2.3,2.95,1.33,1.62,0.7,0.66,0.7,8.02,17.07,25.66
2019,268,15.67,21.88,8.14,335.93,0.72,0.41,0.83,0.11,0.73,2.05,3.31,0.81,2.5,0.68,0.66,0.69,16.56,17.78,25.39
2019,269,15.48,19.55,9.53,343.62,6.66,0.3,0.34,0.27,0.06,2.2,2.9,1.7,1.2,0.72,0.67,0.7,7.57,16.01,25.12
2019,270,14.04,21.0,6.91,325.54,2.4,0.27,0.36,0.12,0.23,1.95,2.77,1.12,1.66,0.7,0.67,0.7,15.31,17.49,24.85
2019,271,15.15,19.55,10.45,371.09,7.68,0.25,0.36,0.16,0.19,1.72,2.55,1.07,1.48,0.74,0.68,0.7,3.73,15.22,24.58
2019,272,9.29,14.23,5.65,282.45,0.56,0.22,0.28,0.16,0.12,1.55,2.24,0.87,1.38,0.7,0.68,0.7,15.39,17.78,24.31
2019,273,9.81,16.08,4.07,324.02,3.72,0.26,0.33,0.2,0.12,1.95,2.64,1.6,1.04,0.7,0.67,0.7,11.75,15.98,24.04
2019,274,13.81,19.8,7.37,375.68,12.92,0.16,0.28,0.04,0.23,1.47,2.4,0.36,2.04,0.79,0.7,0.7,3.84,14.41,23.78
2019,275,10.15,14.57,4.3,320.51,2.25,0.3,0.36,0.23,0.12,2.4,3.12,1.69,1.44,0.73,0.7,0.7,9.08,16.23,23.51
2019,276,5.94,10.67,1.87,315.03,1.72,0.25,0.32,0.14,0.18,1.94,2.78,1.25,1.53,0.72,0.69,0.7,9.06,16.41,23.24
2019,277,6.18,12.48,1.15,287.05,0.68,0.3,0.35,0.23,0.12,2.28,3.05,1.59,1.47,0.71,0.69,0.7,12.13,16.14,22.97
2019,278,6.05,13.65,-0.84,260.8,0.0,0.21,0.38,0.01,0.38,1.35,2.23,0.09,2.14,0.7,0.69,0.7,16.75,16.86,22.71
2019,279,11.13,17.69,4.62,347.64,0.56,0.25,0.34,0.2,0.13,2.41,3.41,1.59,1.83,0.7,0.68,0.7,5.07,13.2,22.44
2019,280,11.69,15.31,6.6,325.61,1.58,0.28,0.34,0.2,0.14,2.33,2.84,1.44,1.41,0.71,0.68,0.7,8.06,14.56,22.18
2019,281,10.13,17.37,3.94,267.98,0.06,0.41,1.16,0.06,1.09,1.55,2.48,0.7,1.78,0.7,0.68,0.7,16.37,16.16,21.91
2019,282,9.33,16.58,3.26,275.81,0.0,0.25,0.59,0.11,0.48,1.76,2.32,1.02,1.3,0.7,0.67,0.7,12.93,15.53,21.65
2019,283,9.9,17.23,4.53,276.79,0.0,0.26,0.37,0.13,0.23,2.0,2.35,1.38,0.98,0.69,0.67,0.7,14.52,15.54,21.39
2019,284,10.33,17.48,4.86,267.85,0.0,0.27,0.37,0.15,0.22,2.25,2.7,1.56,1.14,0.69,0.67,0.7,13.8,15.08,21.12
2019,285,10.12,14.28,5.8,323.15,1.59,0.24,0.31,0.15,0.16,1.96,2.43,1.38,1.05,0.7,0.67,0.7,8.1,14.03,20.86
2019,286,8.78,15.89,1.93,266.28,0.17,0.33,0.72,0.18,0.55,2.04,2.62,1.24,1.38,0.69,0.67,0.7,15.14,15.12,20.61
2019,287,8.26,13.4,4.13,312.66,0.84,0.28,0.35,0.21,0.14,2.04,3.2,1.3,1.9,0.69,0.66,0.7,5.51,13.68,20.35
2019,288,7.13,13.07,1.89,289.25,0.74,0.27,0.42,0.18,0.24,1.91,2.82,1.22,1.6,0.69,0.66,0.7,11.99,14.17,20.09
2019,289,9.89,17.07,6.01,320.12,13.54,0.3,0.39,0.25,0.14,2.9,3.67,1.8,1.88,0.73,0.67,0.7,4.77,11.75,19.84
2019,290,8.26,10.19,5.51,317.09,13.91,0.46,0.54,0.36,0.18,4.02,4.84,3.05,1.78,0.8,0.7,0.71,2.76,13.55,19.58
2019,291,5.94,10.99,1.38,313.21,2.25,0.37,0.43,0.28,0.16,2.96,3.83,1.75,2.09,0.73,0.7,0.71,4.9,13.69,19.33
2019,292,4.89,11.59,-0.05,252.47,0.16,0.34,1.04,0.02,1.02,1.35,2.3,0.18,2.12,0.72,0.7,0.71,13.71,13.73,19.08
2019,293,8.61,15.64,3.09,282.19,0.03,0.38,1.02,0.06,0.96,1.47,2.14,0.37,1.77,0.72,0.7,0.71,11.18,12.77,18.83
2019,294,8.95,15.98,3.23,283.34,0.49,0.29,0.91,0.09,0.83,1.72,2.8,0.41,2.39,0.71,0.69,0.71,12.39,13.13,18.59
2019,295,11.38,15.4,8.23,346.81,20.04,0.25,0.34,0.15,0.19,2.78,3.43,2.09,1.34,0.78,0.7,0.71,2.21,11.27,18.34
2019,296,9.78,14.31,5.95,316.17,1.75,0.3,0.38,0.18,0.2,2.62,3.66,1.79,1.88,0.76,0.72,0.72,9.38,12.49,18.1
2019,297,7.12,11.81,2.4,313.79,1.95,0.27,0.34,0.13,0.2,2.04,2.91,0.98,1.93,0.74,0.71,0.72,3.83,11.49,17.86
2019,298,4.92,10.49,1.57,288.13,0.93,0.26,0.81,0.02,0.79,1.2,2.15,0.23,1.92,0.73,0.71,0.72,8.58,12.23,17.62
2019,299,5.32,10.46,2.72,264.51,0.19,0.22,0.81,0.05,0.76,1.43,2.86,0.5,2.36,0.73,0.7,0.72,12.45,12.45,17.38
